Number_study,Publication_year
1,1930
1,1931
1,1938
1,1971
1,1973
1,1976
1,1978
3,1979
1,1981
1,1986
2,1987
3,1988
1,1990
1,1991
2,1992
2,1993
1,1994
5,1996
3,1997
3,1999
1,2000
4,2001
3,2002
4,2003
3,2004
2,2005
4,2006
4,2007
1,2008
1,2009
6,2010
4,2011
4,2012
3,2013
4,2014
4,2015
10,2016
4,2017
11,2018
7,2019
5,2020
6,2021
3,2022
